date,hour,demand,newdatetime,hour_of_day,day_of_month,month_of_year,year,quarter_of_year,week_of_year,day_of_year,day_of_week
2018-08-18,9,91,2018-08-18 09:00:00,9,18,8,2018,3,33,230,5
2018-08-18,10,21,2018-08-18 10:00:00,10,18,8,2018,3,33,230,5
2018-08-18,13,23,2018-08-18 13:00:00,13,18,8,2018,3,33,230,5
2018-08-18,14,104,2018-08-18 14:00:00,14,18,8,2018,3,33,230,5
2018-08-18,15,81,2018-08-18 15:00:00,15,18,8,2018,3,33,230,5
2018-08-18,16,37,2018-08-18 16:00:00,16,18,8,2018,3,33,230,5
2018-08-18,17,27,2018-08-18 17:00:00,17,18,8,2018,3,33,230,5
2018-08-18,18,66,2018-08-18 18:00:00,18,18,8,2018,3,33,230,5
2018-08-18,19,80,2018-08-18 19:00:00,19,18,8,2018,3,33,230,5
2018-08-18,20,52,2018-08-18 20:00:00,20,18,8,2018,3,33,230,5
2018-08-18,21,6,2018-08-18 21:00:00,21,18,8,2018,3,33,230,5
2018-08-18,22,23,2018-08-18 22:00:00,22,18,8,2018,3,33,230,5
2018-08-18,23,21,2018-08-18 23:00:00,23,18,8,2018,3,33,230,5
2018-08-19,2,38,2018-08-19 02:00:00,2,19,8,2018,3,33,231,6
2018-08-19,8,48,2018-08-19 08:00:00,8,19,8,2018,3,33,231,6
2018-08-19,9,93,2018-08-19 09:00:00,9,19,8,2018,3,33,231,6
2018-08-19,10,21,2018-08-19 10:00:00,10,19,8,2018,3,33,231,6
2018-08-19,11,89,2018-08-19 11:00:00,11,19,8,2018,3,33,231,6
2018-08-19,12,114,2018-08-19 12:00:00,12,19,8,2018,3,33,231,6
2018-08-19,13,68,2018-08-19 13:00:00,13,19,8,2018,3,33,231,6
2018-08-19,14,65,2018-08-19 14:00:00,14,19,8,2018,3,33,231,6
2018-08-19,15,121,2018-08-19 15:00:00,15,19,8,2018,3,33,231,6
2018-08-19,16,25,2018-08-19 16:00:00,16,19,8,2018,3,33,231,6
2018-08-19,17,64,2018-08-19 17:00:00,17,19,8,2018,3,33,231,6
2018-08-19,19,91,2018-08-19 19:00:00,19,19,8,2018,3,33,231,6
2018-08-19,20,92,2018-08-19 20:00:00,20,19,8,2018,3,33,231,6
2018-08-19,21,15,2018-08-19 21:00:00,21,19,8,2018,3,33,231,6
2018-08-19,22,96,2018-08-19 22:00:00,22,19,8,2018,3,33,231,6
2018-08-20,7,81,2018-08-20 07:00:00,7,20,8,2018,3,34,232,0
2018-08-20,8,15,2018-08-20 08:00:00,8,20,8,2018,3,34,232,0
2018-08-20,9,95,2018-08-20 09:00:00,9,20,8,2018,3,34,232,0
2018-08-20,10,84,2018-08-20 10:00:00,10,20,8,2018,3,34,232,0
2018-08-20,11,92,2018-08-20 11:00:00,11,20,8,2018,3,34,232,0
